id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1279666081527148590,"The Broome, Deluxe Queen",,,,Manhattan,SoHo,40.721354,-73.999346,Private room,468,1,3,2026-02-08,0.57,,338,3,
1543683559947083167,"M Social Hotel New York Downtown, Deluxe king c...",,,,Manhattan,Financial District,40.7100283,-74.0113604,Private room,188,1,23,2026-05-04,3.37,,265,23,
1559522395930572140,"ModernHaus SoHo, SoHo deluxe king",,,,Manhattan,SoHo,40.72268,-74.00483,Private room,431,1,3,2026-02-22,0.54,,273,3,
1665948589959289542,Superior 1-bedroom apartment w/ den & 2 queens,,,,Manhattan,Financial District,40.7075293,-74.0061878,Private room,257,1,1,2026-06-10,1,,360,1,
1394234603510215650,Chic boutique hotel stay | Ameritania Hotel,,,,Manhattan,Midtown,40.764025,-73.982833,Private room,170,1,168,2026-06-02,12.23,,365,165,
1024580332878266680,"33 Hotel New York City Seaport, Superior courty...",,,,Manhattan,Financial District,40.7080576,-74.0014377,Private room,359,1,4,2026-01-03,0.31,,352,2,
1620340049612392226,"Sixty Les, Queen studio",,,,Manhattan,Lower East Side,40.72219,-73.98864,Private room,246,1,7,2026-06-06,7,,363,7,
1643343865444978960,Bunk Pod - Shared Bathroom,,,,Manhattan,Midtown,40.7557,-73.96916,Private room,98,1,44,2026-05-31,23.16,,315,44,
1639160544019164448,"AMTD Idea Tribeca Hotel, 1 King bed",,,,Manhattan,Tribeca,40.7209402,-74.0054598,Private room,149,1,11,2026-06-09,8.92,,359,11,
1618523976083372756,Hotel Mimosa - Standard queen room,,,,Manhattan,Chinatown,40.7143,-73.99381,Private room,156,1,3,2026-05-22,1.03,,202,3,
1620340049559241517,"Sixty Les, Empire terrace",,,,Manhattan,Lower East Side,40.72219,-73.98864,Private room,246,1,1,2026-05-20,1,,362,1,
1633626388628890894,"Madison LES, NQ standard room",,,,Manhattan,Two Bridges,40.71238,-73.99274,Private room,159,1,1,2026-04-14,0.48,,362,1,
1106488077727435771,"The Renwick Hotel New York City, Gallery King",,,,Manhattan,Murray Hill,40.750208,-73.977637,Private room,242,1,123,2026-06-07,4.45,,359,82,
1607818499765919168,"Merchant LES, Standard double",,,,Manhattan,Lower East Side,40.72002,-73.98952,Private room,263,1,4,2026-04-05,1.12,,363,4,
1639160543426248063,"AMTD Idea Tribeca Hotel, 2 Doubles Tribeca view",,,,Manhattan,Tribeca,40.7209402,-74.0054598,Private room,149,1,11,2026-06-08,8.46,,352,11,
